seed,nn1_final,nn2_final,improvement,nn1_task1,nn1_task2,nn1_task3,nn1_task4,nn1_task5,nn2_task1,nn2_task2,nn2_task3,nn2_task4,nn2_task5
42,22.7,33.87,11.169999999999998,2.0500000000000003,4.0,7.449999999999999,17.95,82.05,37.4,11.65,25.7,40.25,54.35
43,26.810000000000002,33.160000000000004,6.350000000000001,1.95,11.4,16.2,23.3,81.2,37.45,15.7,24.75,33.75,54.15
44,24.57,33.32,8.75,5.4,7.199999999999999,10.15,16.85,83.25,38.05,17.8,20.45,28.549999999999997,61.75000000000001
45,26.29,33.370000000000005,7.080000000000005,7.199999999999999,6.4,14.95,22.650000000000002,80.25,34.300000000000004,16.6,28.4,31.4,56.15
46,25.18,32.81,7.630000000000003,5.55,4.9,11.25,22.400000000000002,81.8,43.4,10.65,19.25,38.95,51.800000000000004
MEAN,25.110000000000003,33.306,8.195999999999994,4.430000000000001,6.779999999999999,12.0,20.630000000000003,81.71000000000001,38.12,14.48,23.71,34.58,55.64
STD,1.6114434523122436,0.3839661443408762,1.8791700295609208,2.328250416085005,2.869146214468688,3.571764269937197,2.9921981886232074,1.1053280056164319,3.2955652019039143,3.149722209973445,3.7933164908823516,4.960040322416746,3.7490665504896037
